a,ひとつの 
jog,～を軽く揺り動かす 
keyword,キーワード 
killer,殺人鬼 
knitting,編むこと 
laboratory,実験室 
laborer,労働者 
lame,ラメ 
lantern,ランタン 
lark,戯れ 
lastly,最後に 
leadership,指導者の地位 
legally,法律上 
legend,伝説 
lick,～をなめる 
lighter,ライター 
lighting,照明 
likewise,同様に 
limitation,制限するもの 
liquor,アルコール性飲料 
listing,表の作成 
literally,文字通りに 
liver,生活する人 
lobster,うみざりがに 
loneliness,一人ぼっち 
loosely,緩く 
lounge,ゆったりと寄り掛かる 
lump,塊 
magnificent,壮大 
majesty,威厳 
makeup,化粧 
mango,マンゴー 
manufacturer,製造 
marathon,マラソン競走 
margin,へり 
marker,マークする物 
marketing,市場での売買取引き 
marking,印をつけること 
massive,大きくて重い 
mat,マット 
mathematical,数学 
mattress,マットレス 
mechanic,機械工 
medieval,中世の 
memo,メモ 
memorial,記念の 
mentally,精神的に 
microwave,極超短波 
mid,中間の 
midday,正午 
milkman,牛乳屋 
millionth,第100万の 
minus,～を引くと 
mischief,いたずら 
misfortune,不運 
missile,ミサイル 
mission,使節団 
mitten,ミトン 
mixture,混ぜ合わせること 
moan,うめき声 
moderate,適度の 
modify,旨を修正する 
moist,湿っぼい 
moisture,湿りけ 
monarch,君主 
morally,道徳的に 
moss,コケ 
motive,動機 
motorbike,モーターバイク 
motorist,自動車を乗り回す人 
mourn,悲しむ 
multiple,複合の 
mummy,ミイラ 
murmur,ざわるき 
myth,神話 
negotiate,物事を取り決める 
neutral,中立の 
nicely,きちょうめんに 
nickel,ニッケル 
nightdress,寝間着 
nightgown,寝巻き 
nightmare,悪夢 
nonstop,ノンストップの 
noted,有名な 
noticeable,人目を引く 
noun,名詞 
novelist,小説家 
nude,裸の 
numerous,非常に多い 
nursery,子ども部屋 
nylon,ナイロン 
oar,オール 
obedience,従順 
objective,実際に存在する 
obligation,義務 
oblige,人に義務を負わせる 
observer,観察する人 
offensive,不愉快にする 
offering,申し出 
officially,公選上 
omit,～を省略する 
onward,前へ 
opponent,相手 
optimistic,楽観的な 
oral,口頭の 
organic,有機体の 
organism,有機体 
organist,オルガン奏者 
organized,組織された 
oriental,東洋の 
originate,～を引き起こす 
ornament,装飾品 
ounce,オンス 
outlet,出口 
outlook,～の見通し 
overflow,川が氾濫する 
overhead,頭上高く 
oversleep,寝過ごす 
overtake,～に追いつく 
overwhelming,圧倒的な 
oyster,カキ 
packaging,パッケージング 
packing,パッキング 
pad,クッション 
painfully,苦しんで 
pal,友達 
pamphlet,パンフレット 
pansy,三色スミレ 
paperback,紙表紙本 
parasol,日傘 
participate,参加する 
particle,微少量 
partnership,協同経営 
passionate,情熱的な 
password,合い言葉 
pasta,パスタ 
paste,のり 
pastime,気晴らし 
pasture,牧草 
patiently,辛抱して 
patron,後援者 
peel,皮 
peer,じっと見つめる 
perception,気付くこと 
performer,実行する人 
perfume,香り 
perish,死: 
pessimistic,悲観的な 
petrol,ガソリン 
phase,段階 
phenomenon,現象 
philosopher,哲学者 
physically,1 自然の法則によって 
pierce,物が～を突き刺す 
pillowcase,まくらカバー 
pinch,～をつねる 
plainly,はっきりと 
playmate,遊び仲間 
plead,嘆願する 
pleasing,心地よい 
plow,すき 
plunge,～を突っ込む 
plural,複数の 
pocketbook,手帳 
pointer,指す人 
poll,投票 
pony,小型の品種の馬 
pope,ローマ教皇 
portable,持チ運びのできる 
portray,表現する 
powerless,力の無い 
precisely,正確に 
predict,～を予言するする 
prefecture,県 
preference,好み 
prejudice,先入観 
prescription,処方 
presentation,プレゼンテーション 
presently,やがて 
presidential,大統領の 
prevail,強さ・影響力が勝る 
prevention,予防すること 
primarily,第一に 
prime,首位の 
printing,印刷 
privately,個人として 
procession,行列 
proclaim,宣告する 
productive,生産的な 
productivity,生産性 
profile,横顔 
progressive,前進する 
prohibit,～を禁止する 
prominent,突き出た 
prompt,てきぱきした 
promptly,敏速に 
prosper,繁栄する 
prosperous,繁栄している 
protective,保護用の 
proven,proveの過去分詞 
proverb,ことわざ 
provider,提供する人 
provincial,地方の 
provision,供給 
prudent,分別のある 
psychological,心理的な 
psychologist,心理学者 
psychology,心理学 
publicity,広く知られていること 
publisher,出版業者 
publishing,出版する 
pullover,プルオーバー 
punch,～をげんこつでなぐる 
punctual,時間を守る 
pyramid,ピラミッド 
qualify,才能・技術などが人に資格を与える 
quote,言葉・文章などを引用する 
racial,人種上の 
racing,競走・競馬・ボートレース 
rag,人をしかる 
raindrop,雨粒 
raisin,干しぶどう 
random,でたらめな 
raspberry,キイチゴの実 
rational,道理にかなった 
react,反応する 
reasonably,理性的に 
recess,奥まったところ場所 
recession,景気後退 
recipe,作り方 
recruit,募集する 
recycle,再循環 
refine,～を精製する 
reflection,反射 
refresh,元気づける 
refuge,避難 
refugee,亡命者 
refusal,拒否 
regardless,むとんじゃくな 
regional,地方の 
register,登録 
regulate,～を規制する 
relaxation,ゆるめること 
relieve,物事が苦通・悩みなどを和らげる 
relieved,ほっとする 
reluctant,気乗りのしない 
remarkably,著しく 
remedy,治療薬 
removal,移動すること 
Renaissance,復興 
renew,～を新しくする 
rental,賃貸料 
reproduce,場面などを再現する 
republican,共和国の 
researcher,研究者 
reservation,予約 
reserved,予約の 
resign,辞職する 
respectable,立派な 
restrict,～を制限する 
restriction,制限すること 
resume,中断した仕事・話などを再び始める 
retirement,引退 
retreat,退却する 
revival,回復 
revive,人を生き返らせる 
revolutionary,革命 
rib,肋骨 
riches,富 
rider,乗る人 
ridiculous,おかしな・ばかばかしい 
riding,ライディング ・選挙区 
rightly,正確に 
rinse,～をすすぎ洗いする 
rising,上がること 
risky,危険な 
riverside,川岸 
roar,猛獣などがほえる 
robbery,泥棒をすること 
rocky,ぐらぐらする 
romance,伝奇物語 
rosy,バラ色の 
routine,いつもの手順 
rudely,無作法に 
rugby,ラグビー 
sacred,神聖な 
saddle,くら 
salesclerk,店員 
salespeople,営業担当者 
salesperson,販売員 
sandy,砂の 
satellite,衛星・人工衛星・衛星国家・従者 
satisfactory,満足のいく 
satisfying,満足を与える 
scar,傷跡 
scarce,乏しい 
scary,恐ろしい 
schoolbook,教科書 
schoolhouse,校舎 
schoolmaster,校長 
schoolroom,教室 
schoolteacher,学校の先生 
scrap,いさかい 
sculpture,彫刻 
seemingly,うわべは 
senate,元老院 
sentiment,感情 
separately,分かれて 
separation,分離 
seriousness,深刻さ 
severely,厳しく 
sexy,性的な 
shed,納屋 
shilling,シリング 
shiny,光る 
shipping,船積み 
shocking,びっくりさせる 
shoemaker,靴屋 
shorten,～を短くする 
shovel,シャベル 
shrink,ひるむ 
sightseeing,見物 
significance,意義 
similarity,類似 
similarly,類似して 
singular,非凡な 
situated,位置している 
skilled,熟練した 
slap,平手打ち 
slender,細長い 
slippery,つるつるした 
snatch,～をひったくる 
sneeze,くしゃみ 
soar,ワシなどが空高く飛ぶ 
sob,すすり泣く 
soften,革などを柔らかにする 
sole,たった一人の 
solely,一人で 
solidly,堅固に 
solitude,弧独 
solo,ソロ 
someday,いつか 
sow,～の種をまく 
sparkle,宝石・露・目などがきらきら輝く 
sparrow,スズメ 
specialize,専門にする 
specifically,明確に 
spectator,観客 
sphere,球 
sporting,スポーツの 
sprinkle,液体・粉末などを振りかける 
squirrel,リス 
stain,～を汚す 
standing,身分 
startle,～を飛び上がらせる 
statesman,政治家 
steadily,着実に 
steer,船・車・飛行機などのかじをとる 
stern,厳格な 
stimulate,～を刺激する 
stitch,一針 
stomachache,腹痛 
strap,ひも 
strategy,兵法 
streetcar,市街電車 
strengthen,～を強くする 
stride,またぐ 
stripe,筋 
strive,大いに努力する 
stubborn,がん固な 
stumble,つまずく 
stylish,流行の 
substantial,かなりの 
substitute,代りをする人 
sue,人などを告訴する 
sufferer,苦しむ人 
suicide,自殺 
summertime,サマータイム 
summon,を呼び出す 
sunglasses,サングラス 
superior,普通以上に優れた 
supposed,そう考えられていた 
supreme,最高位の 
surfing,波乗り 
surgeon,軍医 
surgery,外科 
surprisingly,驚くほど 
survival,生き残ること 
survivor,生き残った人 
suspend,～をつるす 
suspicion,疑い 
suspicious,疑わしい 
sustain,～を持続する 
swift,速い 
symphony,交響楽 
talented,才能のある 
tease,人・動物をいじめる 
technically,専門的に 
tempt,人を誘惑する 
tenderly,そっと 
terrific,ものすごい 
terrorist,テロリスト 
testing,試験 
Thanksgiving,感謝 
theme,主題 
thermometer,温度計 
thinker,考える人 
thinly,薄く 
thorn,とげ 
thoughtful,思いやりのある 
thriller,ぞっとさせる物 
thrilling,スリルに富んだ 
throne,玉座 
tighten,～をきつく締める 
tights,タイツ 
timeless,無限の 
tissue,組織 
tolerate,～に寛大な態度をとる 
toothache,歯痛 
topping,この上ない 
torch,たいまつ 
touching,ほろりとさせる 
tournament,大会 
trader,商売をする人 
trading,商業に従事する 
tragedy,悲劇 
tragic,悲劇の 
transform,～を変える 
transition,移り変わること 
tread,～を踏んで通る 
trendy,流行の 
trim,～の形を整える 
trombone,トロンボーン 
troop,群れ 
tub,おけ 
turtle,ウミガメ 
twilight,薄かり 
twinkle,きらきら光る 
typhoon,台風 
typically,典型的に 
ultimate,根本的な 
unacceptable,容認 
unaware,気づかない 
unbelievable,信じられない 
uncertainty,確信のなさ 
uncommon,普通でない 
uncover,～のおおいを取る 
undergo,変化・検査などを受ける 
undergraduate,学部 
undertake,仕事などに着手する 
unemployment,失業率 
unexpectedly,意外な 
unfair,不公平な 
unfamiliar,よく知らない 
unimportant,取るに足りない 
unity,単一性 
unjust,不正な 
unlike,～とは違って 
unpleasant,不愉快な 
unusually,いつになく 
unwilling,気が進まない 
urban,都会の 
utter,音声・言葉などを発する 
utterly,全く 
vacuum,真空 
veil,ベール 
veranda,ベランダ 
verb,動詞 
victorious,勝利を得た 
viewpoint,観点 
vigor,力強さ 
vine,つる 
violate,約束・法律・条約などを破る 
violently,激しく 
vital,生命の 
vivid,あざやかな 
volcano,火山 
vow,誓い 
waken,人の目を覚まさせる 
ward,病棟 
warming,暖かくなる 
warrior,戦士 
wartime,戦時 
wholly,まったく 
widespread,行き渡った 
widow,未亡人 
wineglass,ワイングラス 
wireless,無線 
wit,機知 
witch,女の魔法使い 
withdraw,～を引っ込める 
woodland,森林地 
workshop,職場 
worldwide,世界的な 
zebra,しまのある 
zipper,ジッパー
abortion,流産
abrupt,突然の
accessible,近づきやすい
accidentally,誤って
accommodate,収容
accountant,会計係
accounting,会計学
accumulate,蓄積
accuracy,精密さ
accusation,告発すること
ace,エース
acknowledge,認める
activist,積極行動主義者
adequate,十分な
adjective,形容詞
administrative,行政
administrator,管理者
admirable,感心な
admirer,賞賛者
adverb,副詞
advertiser,広告者
aftercare,アフターケア
aha,ほほう
airliner,大型旅客機
alas,ああ
alcoholic,アルコールの
alley,はじき玉
ally,～を同盟させる
almighty,全能の
alongside,そばに
alphabetical,アルファベットの
aluminum,アルミニウム
ample,広い
analyst,分析者
annoying,迷惑な
anticipation,予想
ape,サル
applaud,拍手かっさいする
applause,賞賛
applied,適合された
architectural,建築
armchair,ひじ掛けいす
ascent,上昇
assess,財産・収入などを評価する
assessment,査定
asset,価値のあるもの
astonishment,驚き
astronaut,宇宙飛行士
astronomer,天文学者
astronomy,天文学
athletics,運動競技
attendance,出席
attentive,注意ぶかい
attribute,～の原因があるとする
authorize,人に権限を与える
babe,すっごい美人
backbone,背骨
bacteria,バクテリア
badminton,バドミントン
bald,はげた
banish,人を追放する
bankrupt,破産者
banner,旗
banquet,宴会
barbecue,バーベキュー
bargaining,取り引き
bazaar,バザー
beak,くちばし
beater,打つ人
beforehand,あらかじめ
beneficial,有益な
betrayal,敵に売ること
bilingual,2つの言語を話す
biography,伝記
biting,身を切るような
bitterness,苦さ
blast,一吹き
bleach,～を漂白する
blessed,祝福を受けた
blot,汚れ
blueprint,青写真
bodily,身体上の
boiling,煮沸
boldness,大胆さ
booking,与約
boom,遠雷・砲声・波などがとどろく
